,통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,시점,값
0,200Y001,2.1.1.1. 주요지표(연간지표),3010101,민간,,,,,,,% ,2015,2.2
1,200Y001,2.1.1.1. 주요지표(연간지표),7010106,가계,,,,,,,% ,2015,55.8
2,200Y001,2.1.1.1. 주요지표(연간지표),7010107,기업,,,,,,,% ,2015,22.5
3,200Y001,2.1.1.1. 주요지표(연간지표),7010108,정부,,,,,,,% ,2015,21.7
4,200Y001,2.1.1.1. 주요지표(연간지표),70105,총조정처분가능소득의분배,,,,,,,,2015,
5,200Y001,2.1.1.1. 주요지표(연간지표),9010202,(서비스),,,,,,,% ,2015,7.3
6,200Y001,2.1.1.1. 주요지표(연간지표),90103,GDP 디플레이터,,,,,,,2015=100,2015,100
7,200Y001,2.1.1.1. 주요지표(연간지표),3010207,총고정자본형성(민간),,,,,,,% ,2015,5.4
8,200Y001,2.1.1.1. 주요지표(연간지표),3010208,총고정자본형성(정부),,,,,,,% ,2015,5.2
9,200Y001,2.1.1.1. 주요지표(연간지표),3010201,건설투자,,,,,,,% ,2015,6.9
10,200Y001,2.1.1.1. 주요지표(연간지표),7010501,제도부문별,,,,,,,,2015,
11,200Y001,2.1.1.1. 주요지표(연간지표),9010101,(재화),,,,,,,% ,2015,37.3
12,200Y001,2.1.1.1. 주요지표(연간지표),9010102,(서비스),,,,,,,% ,2015,5.6
13,200Y001,2.1.1.1. 주요지표(연간지표),90102,총수입,,,,,,,% ,2015,37.4
14,200Y001,2.1.1.1. 주요지표(연간지표),9010201,(재화),,,,,,,% ,2015,28.8
15,200Y001,2.1.1.1. 주요지표(연간지표),2010102,광공업,,,,,,,% ,2015,1.6
16,200Y001,2.1.1.1. 주요지표(연간지표),2010103,(제조업),,,,,,,% ,2015,1.7
17,200Y001,2.1.1.1. 주요지표(연간지표),2010104,"전기, 가스 및 수도사업",,,,,,,% ,2015,3.1
18,200Y001,2.1.1.1. 주요지표(연간지표),2010105,건설업,,,,,,,% ,2015,6.2
19,200Y001,2.1.1.1. 주요지표(연간지표),2010106,서비스업,,,,,,,% ,2015,3.1
20,200Y001,2.1.1.1. 주요지표(연간지표),2010107,순생산물세,,,,,,,% ,2015,3.7
21,200Y001,2.1.1.1. 주요지표(연간지표),60104,(공제)재화와서비스의수입,,,,,,,% ,2015,36.1
22,200Y001,2.1.1.1. 주요지표(연간지표),70104,총본원소득(GNI)의분배,,,,,,,,2015,
23,200Y001,2.1.1.1. 주요지표(연간지표),7010401,요소소득별,,,,,,,,2015,
24,200Y001,2.1.1.1. 주요지표(연간지표),701050101,가계,,,,,,,% ,2015,64
25,200Y001,2.1.1.1. 주요지표(연간지표),3010202,(건물건설),,,,,,,% ,2015,9.4
26,200Y001,2.1.1.1. 주요지표(연간지표),3010203,(토목건설),,,,,,,% ,2015,2.5
27,200Y001,2.1.1.1. 주요지표(연간지표),701040101,피용자보수,,,,,,,% ,2015,45.1
28,200Y001,2.1.1.1. 주요지표(연간지표),701040102,기업 및 재산소득,,,,,,,% ,2015,26.9
29,200Y001,2.1.1.1. 주요지표(연간지표),701040103,고정자본소모,,,,,,,% ,2015,18.6
30,200Y001,2.1.1.1. 주요지표(연간지표),3010102,정부,,,,,,,% ,2015,3.8
31,200Y001,2.1.1.1. 주요지표(연간지표),30102,총고정자본형성,,,,,,,% ,2015,5.4
32,200Y001,2.1.1.1. 주요지표(연간지표),10104,국민처분가능소득(명목),,,,,,,십억원 ,2015,1349292.2
33,200Y001,2.1.1.1. 주요지표(연간지표),10105,국민총처분가능소득(명목),,,,,,,십억원 ,2015,1658961.9
34,200Y001,2.1.1.1. 주요지표(연간지표),101051,가계총처분가능소득(명목),,,,,,,십억원 ,2015,925744.6
35,200Y001,2.1.1.1. 주요지표(연간지표),30103,설비투자,,,,,,,% ,2015,5.1
36,200Y001,2.1.1.1. 주요지표(연간지표),1010603,"1인당 가계총처분가능소득(명목, 달러표시)",,,,,,,달러 ,2015,16037.7
37,200Y001,2.1.1.1. 주요지표(연간지표),20101,국내총생산(실질성장률),,,,,,,% ,2015,2.8
38,200Y001,2.1.1.1. 주요지표(연간지표),2010101,농림어업,,,,,,,% ,2015,-0.2
39,200Y001,2.1.1.1. 주요지표(연간지표),8010103,(기업),,,,,,,% ,2015,21.6
40,200Y001,2.1.1.1. 주요지표(연간지표),8010104,정부,,,,,,,% ,2015,6.7
41,200Y001,2.1.1.1. 주요지표(연간지표),8010200,국내총투자율,,,,,,,% ,2015,29.5
42,200Y001,2.1.1.1. 주요지표(연간지표),3010301,(기계류),,,,,,,% ,2015,5.5
43,200Y001,2.1.1.1. 주요지표(연간지표),3010302,(운송장비),,,,,,,% ,2015,4.2
44,200Y001,2.1.1.1. 주요지표(연간지표),30104,지식재산생산물투자,,,,,,,% ,2015,2
45,200Y001,2.1.1.1. 주요지표(연간지표),30105,재화와서비스의수출,,,,,,,% ,2015,0.2
46,200Y001,2.1.1.1. 주요지표(연간지표),3010501,(재화),,,,,,,% ,2015,-0.3
