순위,호선,역번호,역명,일평균승하차인원수
1,2,222,강남,142195
2,2,216,잠실(2),136406
3,2,239,홍대입구,118769
4,2,230,신림,107733
5,2,232,구로디지털단지,101103
6,2,219,삼성,92440
7,2,221,역삼,88694
8,2,234,신도림,88022
9,2,220,선릉,87551
10,3,329,고속터미널(3),86204
11,2,228,서울대입구,84873
12,1,150,서울역(1),84366
13,2,226,사당(2),74205
14,2,202,을지로입구,72200
15,7,2748,가산디지털단지(7),71032
16,2,212,건대입구(2),70045
17,2,211,성수,67849
18,3,332,양재,67131
19,2,240,신촌,65740
20,3,311,연신내(3),64302
21,4,420,혜화,63728
22,4,414,수유,61631
23,1,152,종각,61140
24,2,238,합정(2),60707
25,2,223,교대(2),60559
26,3,326,압구정,59195
27,2,214,강변,57677
28,5,2534,광화문,55171
29,3,327,신사,54434
30,3,331,남부터미널,52582
31,5,2519,까치산(5),50656
32,4,413,쌍문,50127
33,5,2518,화곡,49241
34,5,2527,여의도(5),49231
35,2,227,낙성대,49218
36,4,416,미아사거리,48854
37,4,412,창동,47757
38,4,423,충무로(4),47057
39,2,231,신대방,46403
40,1,153,종로3가(1),45813
41,4,433,사당(4),44678
42,4,425,회현,44577
43,2,233,대림(2),44236
44,3,317,경복궁,43330
45,3,318,안국,42852
46,2,213,구의,41675
47,4,424,명동,41501
48,1,151,시청(1),41356
49,2,229,봉천,41245
50,1,154,종로5가,41200
51,2,210,뚝섬,40701
52,7,2733,학동,40510
53,5,2522,오목교,40060
54,2,217,잠실새내,39613
55,2,203,을지로3가(2),39380
56,7,2750,광명사거리,39144
57,2,201,시청(2),39051
58,2,236,영등포구청(2),38568
59,7,2749,철산,38228
60,2,235,문래,37840
61,4,417,길음,37535
62,3,310,구파발,37418
63,4,418,성신여대입구,37275
64,1,158,청량리,37147
65,4,411,노원(4),37075
66,5,2516,발산,36901
67,2,224,서초,36899
68,7,2715,노원(7),36840
69,8,2819,문정,35930
70,4,432,이수(총신대입구),35730
71,2,237,당산,35273
72,7,2731,청담,35106
73,4,421,동대문(4),34371
74,5,2548,천호(5),34026
75,7,2734,논현,33413
76,4,410,상계,33407
77,5,2544,장한평,32602
78,3,339,수서,32601
79,5,2549,강동,32505
80,5,2533,서대문,32217
81,1,157,제기동,31858
82,8,2811,암사,31576
83,6,2611,응암,31404
84,4,429,신용산,31334
85,6,2627,공덕(6),31242
86,3,314,홍제,31170
87,7,2717,하계,31006
88,2,225,방배,30922
89,3,312,불광(3),30769
90,5,2521,목동,30573
91,8,2815,잠실(8),30467
92,8,2820,장지,30124
93,7,2722,상봉(7),29831
94,5,2563,미사,29783
95,7,2732,강남구청,29601
96,7,2724,사가정,28971
97,8,2812,천호(8),28957
98,7,2738,이수(7),28278
99,7,2736,고속터미널(7),28260
100,5,2543,답십리,28027
101,2,208,왕십리(2),27927
102,7,2723,면목,27589
103,7,2743,신대방삼거리,27433
104,7,2728,어린이대공원,27368
105,6,2622,망원,27316
106,7,2747,남구로,27251
107,5,2546,아차산,27188
108,4,422,동대문역사문화공원(4),27024
109,2,241,이대,27009
110,4,426,서울역(4),26619
111,4,415,미아,26574
112,3,313,녹번,26215
113,5,2528,여의나루,26160
114,2,205,동대문역사문화공원(2),26114
115,2,206,신당(2),26041
116,5,2517,우장산,25706
117,6,2619,디지털미디어시티(6),25636
118,5,2554,상일동,25351
119,7,2737,내방,25181
120,4,419,한성대입구,25011
121,5,2535,종로3가(5),24975
122,2,207,상왕십리,24963
123,6,2623,합정(6),24958
124,7,2729,건대입구(7),24788
125,5,2529,마포,24749
126,2,215,잠실나루,24677
127,4,427,숙대입구,24647
128,5,2530,공덕(5),24603
129,7,2716,중계,24601
130,1,156,신설동(1),24299
131,6,2621,마포구청,24283
132,7,2727,군자(7),24224
133,8,2823,남한산성입구,24224
134,7,2740,숭실대입구,24135
135,5,2547,광나루,23771
136,6,2631,이태원,23306
137,7,2713,수락산,23213
138,3,323,약수(3),22996
139,2,218,종합운동장(2),22846
140,6,2645,석계(6),22670
141,2,204,을지로4가(2),22573
142,7,2714,마들,22500
143,5,2520,신정,22268
144,6,2617,새절,22094
145,7,2718,공릉,21828
146,6,2640,안암,21592
147,5,2545,군자(5),21493
148,6,2642,월곡,21035
149,1,155,동대문(1),20840
150,3,333,매봉,20657
151,7,2745,신풍,20628
152,3,335,대치,20553
153,3,330,교대(3),20271
154,7,2741,상도,20050
155,2,209,한양대,19646
156,7,2751,천왕,19637
157,7,2739,남성,19339
158,3,319,종로3가(3),19201
159,8,2824,단대오거리,19085
160,7,2721,중화,19035
161,5,2525,영등포시장,18952
162,6,2647,화랑대,18910
163,2,249,신정네거리,18816
164,9,4129,봉은사,18806
165,7,2726,중곡,18713
166,6,2624,상수,18637
167,2,242,아현,18423
168,7,2712,도봉산(7),18420
169,8,2813,강동구청,18402
170,3,320,을지로3가(3),18253
171,5,2515,마곡,18220
172,7,2720,먹골,18161
173,1,159,동묘앞(1),18092
174,6,2618,증산,18039
175,6,2632,한강진,17879
176,2,243,충정로(2),17687
177,3,322,동대입구,17650
178,3,338,일원,17596
179,7,2752,온수(7),17578
180,4,409,당고개,17437
181,7,2730,뚝섬유원지,17358
182,5,2560,거여,17354
183,3,337,대청,17228
184,5,2553,고덕,17052
185,4,430,이촌,16980
186,5,2551,굽은다리,16944
187,3,325,옥수,16823
188,6,2644,돌곶이,16516
189,7,2742,장승배기,16129
190,7,2719,태릉입구(7),15985
191,5,2552,명일,15896
192,3,340,가락시장(3),15761
193,7,2746,대림(7),15668
194,8,2821,복정(8),15642
195,6,2625,광흥창,15617
196,6,2626,대흥,15602
197,6,2648,봉화산,15445
198,6,2637,동묘앞(6),15277
199,8,2816,석촌(8),15173
200,7,2744,보라매,15154
201,5,2555,둔촌동,15083
202,6,2636,신당(6),15072
203,6,2641,고려대,15006
204,8,2817,송파,14847
205,5,2513,김포공항(5),14735
206,5,2550,길동,14688
207,8,2818,가락시장(8),14401
208,3,324,금호,13953
209,5,2540,행당,13686
210,3,316,독립문,13493
211,6,2639,보문,13017
212,5,2557,방이,13011
213,5,2561,마천,12782
214,5,2565,하남시청,12677
215,3,341,경찰병원,12622
216,5,2523,양평(5),12576
217,2,248,양천구청,12562
218,6,2628,효창공원앞,12345
219,6,2629,삼각지(6),12127
220,6,2616,구산,12126
221,5,2511,방화,11866
222,5,2559,개롱,11644
223,8,2814,몽촌토성,11589
224,5,2531,애오개,11580
225,5,2539,신금호,11580
226,5,2514,송정,11533
227,5,2566,하남검단산,11196
228,9,4138,중앙보훈병원,11029
229,6,2643,상월곡,10982
230,6,2620,월드컵경기장,10979
231,6,2646,태릉입구(6),10929
232,9,4126,언주,10805
233,7,2725,용마산,10783
234,7,2735,반포,10662
235,4,428,삼각지(4),10639
236,5,2536,을지로4가(5),10618
237,3,342,오금(3),10465
238,5,2542,마장,10066
239,5,2512,개화산,9890
240,8,2822,산성,9762
241,6,2630,녹사평,9742
242,9,4127,선정릉,9695
243,8,2828,남위례,9670
244,9,4133,석촌(9),9583
245,8,2826,수진,9396
246,3,309,지축,9278
247,3,334,도곡,9271
248,5,2541,왕십리(5),9004
249,3,328,잠원,8609
250,8,2825,신흥,8378
251,9,4136,올림픽공원(9),8319
252,5,2556,올림픽공원(5),8095
253,8,2827,모란(8),8054
254,6,2613,불광(6),8043
255,5,2562,강일,7984
256,5,2532,충정로(5),7787
257,9,4131,삼전,7753
258,5,2526,신길(5),7734
259,5,2564,하남풍산,7554
260,6,2612,역촌,7318
261,5,2524,영등포구청(5),7303
262,3,315,무악재,7215
263,9,4128,삼성중앙,7135
264,9,4132,석촌고분,6904
265,2,246,신설동(2),6849
266,5,2538,청구(5),6698
267,6,2635,청구(6),6629
268,5,2558,오금(5),6450
269,6,2634,약수(6),6442
270,9,4134,송파나루,6139
271,6,2638,창신,5803
272,2,244,용답,5667
273,5,2537,동대문역사문화공원(5),5341
274,6,2614,독바위,5162
275,9,4130,종합운동장(9),4806
276,3,336,학여울,4411
277,2,250,용두,4352
278,4,431,동작,3996
279,6,2633,버티고개,3858
280,2,245,신답,3189
281,9,4135,한성백제,3163
282,7,2711,장암,3110
283,2,247,도림천,2460
284,4,434,남태령,2241
285,9,4137,둔촌오륜,1305
