,호선,역명
0,1호선,서울역
1,1호선,서울역
2,1호선,시청역
3,1호선,시청역
4,1호선,종각역
5,1호선,종각역
6,1호선,종로3가역
7,1호선,종로3가역
8,1호선,종로5가역
9,1호선,종로5가역
10,1호선,동대문역
11,1호선,동대문역
12,1호선,신설동역
13,1호선,신설동역
14,1호선,제기동역
15,1호선,제기동역
16,1호선,청량리(서울시립대입구)역
17,1호선,청량리(서울시립대입구)역
18,1호선,동묘앞역
19,1호선,동묘앞역
20,2호선,시청역
21,2호선,시청역
22,2호선,을지로입구역
23,2호선,을지로입구역
24,2호선,을지로3가역
25,2호선,을지로3가역
26,2호선,을지로4가역
27,2호선,을지로4가역
28,2호선,동대문역사문화공원(DDP)역
29,2호선,동대문역사문화공원(DDP)역
30,2호선,신당역
31,2호선,신당역
32,2호선,상왕십리역
33,2호선,상왕십리역
34,2호선,왕십리(성동구청)역
35,2호선,왕십리(성동구청)역
36,2호선,한양대역
37,2호선,한양대역
38,2호선,뚝섬역
39,2호선,뚝섬역
40,2호선,성수역
41,2호선,성수역
42,2호선,건대입구역
43,2호선,건대입구역
44,2호선,구의(광진구청)역
45,2호선,구의(광진구청)역
46,2호선,강변(동서울터미널)역
47,2호선,강변(동서울터미널)역
48,2호선,잠실나루역
49,2호선,잠실나루역
50,2호선,잠실(송파구청)역
51,2호선,잠실(송파구청)역
52,2호선,잠실새내역
53,2호선,잠실새내역
54,2호선,종합운동장역
55,2호선,종합운동장역
56,2호선,삼성(무역센터)역
57,2호선,삼성(무역센터)역
58,2호선,선릉역
59,2호선,선릉역
60,2호선,역삼역
61,2호선,역삼역
62,2호선,강남역
63,2호선,강남역
64,2호선,교대(법원.검찰청)역
65,2호선,교대(법원.검찰청)역
66,2호선,서초역
67,2호선,서초역
68,2호선,방배역
69,2호선,방배역
70,2호선,사당역
71,2호선,사당역
72,2호선,낙성대(강감찬)역
73,2호선,낙성대(강감찬)역
74,2호선,서울대입구(관악구청)역
75,2호선,서울대입구(관악구청)역
76,2호선,봉천역
77,2호선,봉천역
78,2호선,신림역
79,2호선,신림역
80,2호선,신대방역
81,2호선,신대방역
82,2호선,구로디지털단지역
83,2호선,구로디지털단지역
84,2호선,대림(구로구청)역
85,2호선,대림(구로구청)역
86,2호선,신도림역
87,2호선,신도림역
88,2호선,문래역
89,2호선,문래역
90,2호선,영등포구청역
91,2호선,영등포구청역
92,2호선,당산역
93,2호선,당산역
94,2호선,합정역
95,2호선,합정역
96,2호선,홍대입구역
97,2호선,홍대입구역
98,2호선,신촌역
99,2호선,신촌역
100,2호선,이대역
101,2호선,이대역
102,2호선,아현역
103,2호선,아현역
104,2호선,충정로(경기대입구)역
105,2호선,충정로(경기대입구)역
106,2호선,용답역
107,2호선,용답역
108,2호선,신답역
109,2호선,신답역
110,2호선,신설동역
111,2호선,신설동역
112,2호선,도림천역
113,2호선,도림천역
114,2호선,양천구청역
115,2호선,양천구청역
116,2호선,신정네거리역
117,2호선,신정네거리역
118,2호선,용두(동대문구청)역
119,2호선,용두(동대문구청)역
120,3호선,지축역
121,3호선,지축역
122,3호선,구파발역
123,3호선,구파발역
124,3호선,연신내역
125,3호선,연신내역
126,3호선,불광역
127,3호선,불광역
128,3호선,녹번역
129,3호선,녹번역
130,3호선,홍제역
131,3호선,홍제역
132,3호선,무악재역
133,3호선,무악재역
134,3호선,독립문역
135,3호선,독립문역
136,3호선,경복궁(정부서울청사)역
137,3호선,경복궁(정부서울청사)역
138,3호선,안국역
139,3호선,안국역
140,3호선,종로3가역
141,3호선,종로3가역
142,3호선,을지로3가역
143,3호선,을지로3가역
144,3호선,동대입구역
145,3호선,동대입구역
146,3호선,약수역
147,3호선,약수역
148,3호선,금호역
149,3호선,금호역
150,3호선,옥수역
151,3호선,옥수역
152,3호선,압구정역
153,3호선,압구정역
154,3호선,신사역
155,3호선,신사역
156,3호선,잠원역
157,3호선,잠원역
158,3호선,고속터미널역
159,3호선,고속터미널역
160,3호선,교대(법원.검찰청)역
161,3호선,교대(법원.검찰청)역
162,3호선,남부터미널(예술의전당)역
163,3호선,남부터미널(예술의전당)역
164,3호선,양재(서초구청)역
165,3호선,양재(서초구청)역
166,3호선,매봉역
167,3호선,매봉역
168,3호선,도곡역
169,3호선,도곡역
170,3호선,대치역
171,3호선,대치역
172,3호선,학여울역
173,3호선,학여울역
174,3호선,대청역
175,3호선,대청역
176,3호선,일원역
177,3호선,일원역
178,3호선,수서역
179,3호선,수서역
180,3호선,가락시장역
181,3호선,가락시장역
182,3호선,경찰병원역
183,3호선,경찰병원역
184,3호선,오금역
