,연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
0,1,2023-01-01,1호선,150,서울역,승차,215,145,231,594,923,1383,2024,2540,2394,1787,2655,2509,2696,2549,2462,2177,2190,1808,734,7
1,2,2023-01-01,1호선,150,서울역,하차,154,636,595,939,1306,1324,1471,2036,1994,2246,2282,2295,2526,1930,1897,1487,991,609,280,46
544,545,2023-01-02,1호선,150,서울역,승차,243,468,2066,2983,1932,1601,2401,2619,2454,1932,2895,3160,5874,9048,3791,2534,2339,1487,550,73
545,546,2023-01-02,1호선,150,서울역,하차,316,1871,4185,9298,5417,2462,1889,2055,1890,1750,2054,1976,2237,2901,1675,1114,934,616,265,91
1088,1089,2023-01-03,1호선,150,서울역,승차,275,447,1561,2405,1737,1549,2088,2179,2330,2027,2659,3257,5719,8646,3745,2444,2439,1454,610,61
1089,1090,2023-01-03,1호선,150,서울역,하차,228,1519,4029,9412,5482,2399,2059,2017,1965,1837,1990,1966,2262,2807,1619,1088,1003,658,323,81
1632,1633,2023-01-04,1호선,150,서울역,승차,277,436,1572,2459,1695,1698,2103,2350,2316,2170,2570,3259,5900,9021,3653,2357,2395,1544,614,89
1633,1634,2023-01-04,1호선,150,서울역,하차,238,1490,3889,9474,5878,2430,1986,2099,1964,1854,2064,2087,2373,3006,1662,1029,983,695,378,85
2176,2177,2023-01-05,1호선,150,서울역,승차,268,470,1617,2370,1952,1654,2394,2554,2566,2211,2892,3615,6026,8751,3873,2530,2742,1634,790,90
2177,2178,2023-01-05,1호선,150,서울역,하차,244,1415,4014,9411,6021,2524,2030,2269,2259,1758,2297,2230,2817,3082,1778,1155,1167,811,390,139
2720,2721,2023-01-06,1호선,150,서울역,승차,261,448,1367,2691,1860,1701,2404,2522,2883,2432,3548,4274,6807,9169,4401,3200,3487,2333,983,173
